1738653,1,1,2,"English",1
2925454,1,1,2,"English",1
722693,1,1,79,"Bulgarian",1
51590,1,1,2,"English",1
2925826,1,1,19,"French",1
293173,1,1,2,"English",1
1245979,1,1,59,"Vietnamese",1
161621,1,0,50,"Spanish",1
102926,1,1,50,"Spanish",0
1845022,1,1,2,"English",1
1663596,1,1,19,"French",1
83474,1,1,2,"English",1
1518122,1,1,2,"English",0
1534181,1,1,2,"English",0
1244176,1,1,2,"English",1
557542,1,1,2,"English",1
76564,1,1,50,"Spanish",0
446788,1,1,2,"English",1
501326,1,1,2,"English",1
1238106,1,1,2,"English",1
408007,4,0,2,"English",1
397071,1,1,2,"English",1
1497441,1,1,2,"English",1
4455500,1,1,50,"Spanish",1
4807691,1,1,2,"English",0
36208,1,0,2,"English",1
4089574,1,1,2,"English",0
608825,1,1,2,"English",1
657909,1,1,50,"Spanish",1
1055467,1,1,2,"English",1
1943356,1,1,2,"English",1
231720,1,1,2,"English",1
4426372,1,1,2,"English",1
494653,1,1,2,"English",1
4426146,1,0,20,"German",1
31041,1,1,2,"English",1
1429600,1,1,2,"English",1
1533228,1,1,2,"English",0
374229,3,1,2,"English",1
1267371,1,1,2,"English",1
4717561,1,1,2,"English",1
4663813,1,1,2,"English",0
4279461,1,1,2,"English",1
72604,1,1,2,"English",1
120423,1,1,47,"Russian",1
1798698,1,1,50,"Spanish",1
51184,1,1,20,"German",0
4236340,1,1,50,"Spanish",0
1600371,1,0,2,"English",1
1727087,1,1,2,"English",1
2926379,1,1,47,"Russian",1
1935528,1,1,2,"English",1
1946072,1,1,2,"English",1
845840,1,1,2,"English",1
408873,1,1,2,"English",1
1517019,1,1,2,"English",0
989968,1,1,50,"Spanish",1
3562029,1,1,84,"Taiwanese",1
4302543,1,1,2,"English",1
1215764,1,1,2,"English",1
1865953,1,1,2,"English",1
1516046,1,1,2,"English",0
505316,1,1,2,"English",1
4264871,1,1,2,"English",1
1370420,1,1,2,"English",1
4642689,1,1,2,"English",1
4071773,1,1,2,"English",1
150024,1,1,50,"Spanish",1
1798827,1,1,2,"English",0
1570701,1,0,2,"English",1
239010,1,1,50,"Spanish",0
448787,1,1,2,"English",1
183302,1,1,21,"Greek",0
1107483,1,1,21,"Greek",1
966074,1,1,47,"Russian",1
4466442,3,1,50,"Spanish",1
4274067,1,1,2,"English",1
1874762,1,1,2,"English",1
1125118,1,0,2,"English",1
1756005,1,1,2,"English",1
4427055,1,1,2,"English",0
216564,1,1,50,"Spanish",0
84614,4,1,2,"English",1
4004760,1,1,19,"French",1
887801,1,1,50,"Spanish",1
4600707,1,1,2,"English",1
4420114,1,1,17,"Cantonese",1
1514491,1,1,2,"English",0
4639087,1,1,2,"English",1
1675442,1,1,2,"English",1
116622,1,1,50,"Spanish",0
1722801,1,1,2,"English",1
1014691,1,1,2,"English",1
1391837,1,1,2,"English",1
1750033,1,1,2,"English",1
231284,1,1,50,"Spanish",0
1245849,1,1,2,"English",1
1522948,1,1,2,"English",0
4068440,1,1,2,"English",1
1237361,1,1,19,"French",1
1280491,1,1,50,"Spanish",1
1524694,1,1,2,"English",0
472005,1,1,2,"English",1
1948105,1,1,2,"English",1
4583004,1,0,50,"Spanish",1
1521966,1,1,2,"English",0
4640308,1,1,50,"Spanish",0
3319694,1,1,50,"Spanish",0
4793969,1,1,26,"Hindi",1
4806370,1,1,50,"Spanish",0
4559159,4,1,2,"English",1
1123993,1,1,2,"English",1
1573146,1,0,3,"Arabic",1
106735,1,1,50,"Spanish",0
223351,1,1,50,"Spanish",1
1423577,1,1,25,"Hebrew",0
4553418,1,1,2,"English",1
1526232,1,1,2,"English",0
4390322,1,1,2,"English",1
364474,1,1,2,"English",1
4807917,1,1,2,"English",1
1006041,1,1,50,"Spanish",1
1522000,1,1,2,"English",0
1955152,1,1,2,"English",1
1581033,1,1,2,"English",1
531046,1,1,2,"English",1
1077298,1,1,2,"English",1
4532278,1,1,2,"English",1
1680444,1,1,50,"Spanish",1
4293137,1,1,2,"English",1
389531,1,0,2,"English",1
1517711,1,1,2,"English",1
1695150,1,1,2,"English",1
1621014,1,1,2,"English",1
4292662,1,1,2,"English",1
1514316,1,1,2,"English",0
45112,1,1,50,"Spanish",0
1235577,1,1,50,"Spanish",0
1202634,1,1,2,"English",1
1844658,1,1,2,"English",1
85907,1,1,32,"Korean",0
4330368,1,1,2,"English",1
1289424,1,1,50,"Spanish",1
562399,1,1,2,"English",1
4230456,1,1,50,"Spanish",1
273045,1,1,2,"English",1
4426336,1,1,2,"English",0
246899,1,1,2,"English",1
168752,1,1,50,"Spanish",0
1510755,1,1,2,"English",0
377643,1,1,2,"English",1
1609437,1,1,50,"Spanish",1
956427,1,1,2,"English",1
55066,1,1,50,"Spanish",0
13198,1,1,2,"English",1
1741306,1,1,2,"English",0
1534976,1,1,2,"English",0
